影片編碼,日期場次,投手,打擊,球數,結果,Ground,球速,一壘有人,二壘有人,三壘有人,出局數,TYPE
001,20140811A,陽建福,彭政閔,1,Hit,G,80,N,N,N,0,
002,20140811A,陽建福,彭政閔,2,Hit,F,90,N,N,N,0,
